word,phonetic,translation,level,example,partOfSpeech,definition,synonyms,antonyms
scary,/ˈskeə.ri/,可怕的 ,B1,a scary movie/story,adjective,frightening:,,
sad,/sæd/,伤心,B1,I've just received some very sad news.,adjective,unhappy or sorry:,,
rude,/ruːd/,粗鲁的 ,B1,He's a very rude man.,adjective,not polite; offensive or embarrassing:,,
publish,/ˈpʌb.lɪʃ/,发布,B1,She's just had an article published in their weekend supplement.,verb,"to make information available to people, especially in a book, magazine, or newspaper, or to produce and sell a book, magazine, or newspaper:",,
reaction,/riˈæk.ʃən/,反应,B1,I love to watch people's reactions when I say who I am.,noun,"behaviour, a feeling or an action that is a direct result of something else:",,
shooting,/ˈʃuː.tɪŋ/,射击 ,B1,We heard some shooting in the night.,noun,the act of shooting bullets from guns or other weapons:,,
shallow,/ˈʃæl.əʊ/,浅的,B1,The stream was fairly shallow so we were able to walk across it.,adjective,having only a short distance from the top to the bottom:,,
relevant,/ˈrel.ə.vənt/,相关的 ,B1,Education should be relevant to the child's needs.,adjective,connected with what is happening or being discussed:,,
season,/ˈsiː.zən/,季节 ,B1,How long does the dry/hurricane/monsoon season last?,noun,"one of the four periods of the year; spring, summer, autumn, or winter",,
retired,/rɪˈtaɪəd/,退休 ,B1,Both my parents are retired.,adjective,"If someone is retired, they have stopped working permanently, usually because of age:",,
quite,/kwaɪt/,相当 ,B1,The two situations are quite different.,adverb,completely:,,
short,/ʃɔːt/,短的 ,B1,a short skirt,adjective,"small in length, distance, or height:","shortchange,shortstop",
report,/rɪˈpɔːt/,报告 ,B1,We called the insurance company to report the theft.,noun,to give a description of something or information about it to someone:,,
skirt,/skɜːt/,裙子,B1,She wore a denim skirt and a white shirt.,noun,"a piece of clothing that hangs from the waist and covers some or all of the legs, usually worn by women and girls:",,
size,/saɪz/,尺寸 ,B1,We are concerned about the size of our debt.,noun,how large or small something or someone is:,,
request,/rɪˈkwest/,要求,B1,They received hundreds of requests for more information.,noun,the act of politely or officially asking for something:,,
protect,/prəˈtekt/,保护 ,B1,clothing that protects you against the cold,verb,"to keep someone or something safe from injury, damage, or loss:",,
proposal,/prəˈpəʊ.zəl/,提议 ,B1,Congress has rejected the latest economic proposal put forward by the President.,noun,"a suggestion, sometimes a written one:",,
rough,/rʌf/,粗糙的 ,B1,"It was a rough mountain road, full of stones and huge holes.",adjective,"not even or smooth, often because of being in bad condition:",approximate,
sector,/ˈsek.tər/,部门,B1,"In the financial sector, banks and insurance companies have both lost a lot of money.",noun,one of the areas into which the economic activity of a country is divided:,,
sand,/sænd/,沙 ,B1,a grain of sand,noun,"a substance that consists of very small grains of rock, found on beaches and in deserts:",,
reading,/ˈriː.dɪŋ/,阅读,B1,Reading and tennis are my favourite pastimes.,noun,the skill or activity of getting information from books:,,
result,/rɪˈzʌlt/,结果 ,B1,"The road has been widened, but the result is just more traffic.",noun,something that happens or exists because of something else:,"outcome,payoff (RESULT),ensue",
quarter,/ˈkwɔː.tər/,四分之一 ,B1,He cut the orange into quarters.,noun,one of four equal or almost equal parts of something; ¼:,,
single,/ˈsɪŋ.ɡəl/,单身的,B1,He knocked his opponent down with a single blow.,"adjective, noun",one only:,,
send,/send/,发送 ,B1,I'll send her a letter/email/parcel/postcard next week.,verb,"to cause something to go from one place to another, especially by post or email:",,
settle,/ˈset.əl/,定居 ,B1,"Good, that's all settled - you send out the invitations for the party, and I'll organize the food.",verb,"to reach a decision or an agreement about something, or to end a disagreement:",,
reservation,/ˌrez.əˈveɪ.ʃən/,预订,B1,I'd like to make a table reservation for two people for nine o'clock.,noun,an arrangement in which something such as a seat on an aircraft or a table at a restaurant is kept for you:,,
sensible,/ˈsen.sə.bəl/,明智 ,B1,a sensible answer/approach/compromise/option,adjective,based on or acting on good judgment and practical ideas or understanding:,,
robot,/ˈrəʊ.bɒt/,机器人 ,B1,The surgery can be carried out by robots.,noun,a machine controlled by a computer that is used to perform jobs automatically:,,
section,/ˈsek.ʃən/,部分 ,B1,the sports section of the newspaper,noun,one of the parts that something is divided into:,Caesarean,
romantic,/rəʊˈmæn.tɪk/,浪漫的 ,B1,a romantic novel/comedy,adjective,relating to love or a close loving relationship:,,
reference,/ˈref.ər.əns/,参考,B1,"Knowing what had happened, I avoided making any reference to (= mentioning) weddings.",noun,a mention of something:,,
serious,/ˈsɪə.ri.əs/,严肃的,B1,a serious illness,adjective,severe in effect; bad:,,
sadly,/ˈsæd.li/,可悲的 ,B1,"""He's gone away for six months,"" she said sadly.",adverb,in an unhappy way:,,
rub,/rʌb/,擦 ,B1,She yawned and rubbed her eyes sleepily.,verb,to press or be pressed against something with a circular or up-and-down repeated movement:,,
reason,/ˈriː.zən/,原因 ,B1,"The reason for the disaster was engine failure, not human error.",noun,the cause of an event or situation or something that provides an excuse or explanation:,,
properly,/ˈprɒp.əl.i/,适当地 ,B1,It's still not working properly.,adverb,"correctly, or in a satisfactory way:",,
soccer,/ˈsɒk.ər/,足球,B1,This is an example sentence using the word 'soccer'.,noun,"a game played between two teams of eleven people, where each team tries to win by kicking a ball into the other team's goal",association football,
slave,/sleɪv/,奴隶 ,B1,Black slaves used to work on the cotton plantations of the southern United States.,noun,a person who is legally owned by someone else and has to work for that person:,,
school,/skuːl/,学校,B1,a primary/secondary school,noun,a place where children go to be educated:,,
regional,/ˈriː.dʒən.əl/,区域 ,B1,a regional accent/dialect/newspaper,adjective,relating to or coming from a particular part of a country:,,
security,/sɪˈkjʊə.rə.ti/,安全 ,B1,The station was closed for two hours because of a security alert.,noun,"protection of a person, building, organization, or country against threats such as crime or attacks by foreign countries:",,
sick,/sɪk/,生病的 ,B1,a sick child,adjective,physically or mentally ill; not well or healthy:,,
satisfy,/ˈsæt.ɪs.faɪ/,满足 ,B1,They have 31 flavours of ice cream - enough to satisfy everyone!,verb,to please someone by giving them what they want or need:,,
recover,/rɪˈkʌv.ər/,恢复,B1,It took her a long time to recover from/after her heart operation.,verb,to become completely well again after an illness or injury:,,
reduction,/rɪˈdʌk.ʃən/,减少 ,B1,a reduction in traffic,noun,"the act of making something, or of something becoming, smaller in size, amount, degree, importance, etc.:",,
really,/ˈrɪə.li/,真的,B1,He isn't really angry - he's just pretending.,adverb,in fact:,,
qualification,/ˌkwɒl.ɪ.fɪˈkeɪ.ʃən/,资格,B1,You'll never get a good job if you don't have any qualifications.,noun,"an official record showing that you have finished a training course or have the necessary skills, etc.:",,
secret,/ˈsiː.krət/,秘密,B1,"Why did you have to go and tell Bob about my illness? You just can't keep a secret, can you?","adjective, noun",a piece of information that is only known by one person or a few people and should not be told to others:,,
put,/pʊt/,放 ,B1,Where have you put the keys?,verb,"to move something or someone into the stated place, position, or direction:",,
reach,/riːtʃ/,抵达 ,B1,We won't reach Miami until five or six o'clock.,verb,"to arrive at a place, especially after spending a long time or a lot of effort travelling:",,
react,/riˈækt/,反应 ,B1,"She slapped him and called him names, but he didn't react.",verb,to act in a particular way as a direct result of something else:,,
punish,/ˈpʌn.ɪʃ/,惩治 ,B1,Those responsible for these crimes must be brought to court and punished.,verb,"to cause someone who has done something wrong or committed a crime to suffer, by hurting them, forcing them to pay money, sending them to prison, etc.:",,
singing,/ˈsɪŋ.ɪŋ/,歌唱 ,B1,We could hear singing in the next room.,noun,"the activity of making musical sounds with the voice, usually a tune with words:",,
sculpture,/ˈskʌlp.tʃər/,雕塑 ,B1,Tom teaches sculpture at the local art school.,noun,"the art of forming solid objects that represent a thing, person, idea, etc. out of a material such as wood, clay, metal, or stone, or an object made in this way:",,
return,/rɪˈtɜːn/,返回 ,B1,Odysseus returned home/returned to his home after many years of travelling.,"verb, noun",to come or go back to a previous place:,,
ready,/ˈred.i/,准备好 ,B1,Are you ready to leave?,adjective,prepared and suitable for fast activity:,,
racing,/ˈreɪ.sɪŋ/,赛车 ,B1,"I enjoy cycling, but I'm not interested in racing.",noun,competition in races:,,
scheme,/skiːm/,方案 ,B1,He has a hare-brained/crazy scheme for getting rich before he's 20.,noun,"an organized plan for doing something, especially something dishonest or illegal that will bring a good result for you:",,
purple,/ˈpɜː.pəl/,紫色的 ,B1,purple plums,"adjective, noun",of a dark reddish-blue colour:,,
secondary,/ˈsek.ən.dri/,次要 ,B1,Her health is what matters - the cost of the treatment is of secondary importance.,adjective,less important than related things:,,
roll,/rəʊl/,卷 ,B1,The vase rolled off the edge of the table and smashed.,"verb, noun",to (cause something to) move somewhere by turning over and over or from side to side:,,
qualified,/ˈkwɒl.ɪ.faɪd/,合格的 ,B1,Tim is now a qualified architect.,adjective,"having finished a training course, or having particular skills, etc.:",,
release,/rɪˈliːs/,发布,B1,He was released from prison after serving two years of a five-year sentence.,"verb, noun",to give freedom or free movement to someone or something:,,
saving,/ˈseɪ.vɪŋ/,保存,B1,He spent all his savings on an expensive car.,noun,the money that you keep in an account in a bank or similar financial organization:,,
quick,/kwɪk/,快的,B1,It's a quick journey.,adjective,"happening or done with great speed, or lasting only a short time:",promptly,
sock,/sɒk/,短袜,B1,a pair of socks,noun,a piece of clothing made from soft material that covers your foot and the lower part of your leg:,,
soap,/səʊp/,肥皂 ,B1,a bar of soap,noun,a substance used for washing the body or other things:,lather,
road,/rəʊd/,路 ,B1,We live on a busy/quiet road.,noun,"a long, hard surface built for vehicles to travel along:",,
raw,/rɔː/,生的,B1,raw fish,adjective,(of food) not cooked:,,
safe,/seɪf/,安全的 ,B1,In some cities you don't feel safe going out alone at night.,adjective,not in danger or likely to be harmed:,,
remind,/rɪˈmaɪnd/,提醒 ,B1,Could you remind Paul about dinner on Saturday?,verb,to make someone think of something they have forgotten or might have forgotten:,,
relative,/ˈrel.ə.tɪv/,相对的 ,B1,I don't have many blood relatives (= people related to me by birth rather than by marriage).,"adjective, noun",a member of your family:,,
significantly,/sɪɡˈnɪf.ɪ.kənt.li/,显著地 ,B1,My piano playing has improved significantly since I started with a new teacher.,adverb,in a way that is easy to see or by a large amount:,,
reflect,/rɪˈflekt/,反映 1 ,B1,He saw himself reflected in the water/mirror/shop window.,verb,"If a surface reflects light, heat, sound, or an image, it sends the light, etc. back and does not absorb it:",,
ski,/skiː/,滑雪 ,B1,a pair of skis,"verb, noun","one of a pair of long, flat narrow pieces of wood or plastic that curve up at the front and are fastened to boots so that the wearer can move quickly and easily over snow:",,
rugby,/ˈrʌɡ.bi/,橄榄球 ,B1,Tom plays rugby every Saturday.,noun,a sport where two teams try to score points by carrying an oval ball across a particular line or kicking it over and between an H-shaped set of posts:,,
question,/ˈkwes.tʃən/,问题 ,B1,The police asked me questions all day.,noun,a sentence or phrase used to find out information:,,
role,/rəʊl/,角色,B1,What is his role in this project?,noun,"the position or purpose that someone or something has in a situation, organization, society, or relationship:",part (SEPARATE PIECE),
representative,/ˌrep.rɪˈzen.tə.tɪv/,代表 ,B1,The firm has representatives in every major city.,"noun, adjective",someone who speaks or does something officially for another person or group of people:,,
shirt,/ʃɜːt/,衬衫,B1,a striped/white shirt,noun,"a piece of clothing worn, especially by men, on the upper part of the body, made of light cloth like cotton and usually having a collar and buttons at the front:",,
rescue,/ˈres.kjuː/,救援,B1,The lifeboat rescued the sailors from the sinking boat.,"verb, noun","to help someone or something out of a dangerous, harmful, or unpleasant situation:",rescue centre,
raise,/reɪz/,增加,B1,Would all those in favour please raise their hands?,verb,to lift something to a higher position:,,
seek,/siːk/,寻找 ,B1,"""Are you actively seeking jobs?"" she asked.",verb,"to try to find or get something, especially something that is not a physical object:",,
religious,/rɪˈlɪdʒ.əs/,宗教 ,B1,religious education,adjective,relating to religion:,,
reporter,/rɪˈpɔː.tər/,记者 ,B1,This is an example sentence using the word 'reporter'.,noun,a person whose job is to discover information about news events and describe them for a newspaper or magazine or for radio or television,,
sheep,/ʃiːp/,羊,B1,The farmer has a large flock (= group) of long-haired sheep.,noun,"a farm animal with thick wool that eats grass and is kept for its wool, skin, and meat:",,
respond,/rɪˈspɒnd/,回应 ,B1,"To every question, he responded ""I don't know.""",verb,to say or do something as a reaction to something that has been said or done:,,
slice,/slaɪs/,片 ,B1,a slice of bread/cake,"noun, verb","a flat, often thin, piece of food that has been cut from a larger piece:",,
shoe,/ʃuː/,鞋,B1,flat/high-heeled shoes,noun,"one of a pair of coverings for your feet, usually made of a strong material such as leather, with a thick leather or plastic sole (= base) and usually a heel:",,
regular,/ˈreɡ.jə.lər/,常规的 ,B1,a regular customer/churchgoer/reader/user,adjective,happening or doing something often:,,
sky,/skaɪ/,天空 ,B1,a blue/cloudy/dark sky,noun,"the area above the earth, in which clouds, the sun, etc. can be seen:",,
risk,/rɪsk/,风险 ,B1,"In this business, the risks and the rewards are high.","noun, verb",the possibility of something bad happening:,,
rhythm,/ˈrɪð.əm/,韵律 ,B1,He beat out a jazz rhythm on the drums.,noun,"a strong pattern of sounds, words, or musical notes that is used in music, poetry, and dancing:",,
pull,/pʊl/,拉 ,B1,Could you help me move this bookcase over there? You pull and I'll push.,verb,"to move something towards yourself, sometimes with great physical effort:",,
save,/seɪv/,节省 ,B1,Wearing seat belts has saved many lives.,verb,"to stop someone or something from being killed, injured, or destroyed:",,
pupil,/ˈpjuː.pəl/,瞳孔 ,B1,a second-year pupil,noun,"a person, especially a child at school, who is being taught:",,
research,/rɪˈsɜːtʃ/,研究 ,B1,scientific/medical research,"noun, verb","a detailed study of a subject, especially in order to discover (new) information or reach a (new) understanding:",,
shell,/ʃel/,壳,B1,Brazil nuts have very hard shells.,noun,"the hard outer covering of something, especially nuts, eggs, and some animals:",,
sexual,/ˈsek.ʃu.əl/,性 ,B1,Most people remember their first sexual experience.,adjective,relating to the activity of sex:,,
quickly,/ˈkwɪk.li/,迅速地 ,B1,We'll have to walk quickly to get there on time.,adverb,at a fast speed:,,
runner,/ˈrʌn.ər/,跑步者 ,B1,a long-distance runner,noun,"someone who runs, especially in competitions:",,
recording,/rɪˈkɔː.dɪŋ/,记录 ,B1,I bought a recording of Maria Callas singing Verdi.,noun,"speech, music, or moving pictures that have been recorded to be listened to or watched later:",,
proud,/praʊd/,自豪的 ,B1,You must be very proud of your son.,adjective,feeling pleasure and satisfaction because you or people connected with you have done or got something good:,,
scared,/skeəd/,害怕的 ,B1,He's scared of spiders.,adjective,frightened or worried:,,
revolution,/ˌrev.əˈluː.ʃən/,革命,B1,The French Revolution changed France from a monarchy to a republic.,noun,"a change in the way a country is governed, usually to a different political system and often using violence or war:",,
rapid,/ˈræp.ɪd/,迅速的,B1,The 1990s were a period of rapid change/growth.,adjective,fast or sudden:,,
sheet,/ʃiːt/,床单 ,B1,I've put clean sheets on the bed.,noun,a large piece of thin cloth used on a bed for sleeping on or under:,,
sentence,/ˈsen.təns/,句子 ,B1,He's very impatient and always interrupts me mid-sentence.,noun,"a group of words, usually containing a verb, that expresses a thought in the form of a statement, question, instruction, or exclamation and starts with a capital letter when written:",,
selection,/sɪˈlek.ʃən/,选择 ,B1,the selection process,noun,the act of choosing someone or something:,,
regard,/rɪˈɡɑːd/,看待,B1,Environmentalists regard GM technology with suspicion.,"verb, noun",to consider or have an opinion about something or someone:,,
qualify,/ˈkwɒl.ɪ.faɪ/,资格 ,B1,She hopes to qualify (as a lawyer) at the end of the year.,verb,"to successfully finish a training course so that you are able to do a job; to have or achieve the necessary skills, etc.:",,
public,/ˈpʌb.lɪk/,民众 ,B1,Public opinion (= the opinions of most people) has turned against him.,"adjective, noun","relating to or involving people in general, rather than being limited to a particular group of people:",,
record,/rɪˈkɔːd/,记录 ,B1,Cliff Richard has recorded more number one hit songs than any other British pop star.,"noun, verb",to store sounds or moving pictures using electronic equipment so that they can be heard or seen later:,,
reader,/ˈriː.dər/,读者 ,B1,"He's a great/voracious reader (= reads many books), and always has a book in his hand.",noun,"someone who reads for pleasure, especially a person who reads a lot:",reading glasses,
solar,/ˈsəʊ.lər/,太阳的 ,B1,solar radiation,adjective,"of or from the sun, or using the energy from the sun to produce electric power:",,
slide,/slaɪd/,滑动 ,B1,When I was little I used to like sliding on the polished floor in my socks.,"verb, noun",to (cause to) move easily and without interruption over a surface:,transparency,
shake,/ʃeɪk/,摇 ,B1,A young boy climbed into the apple tree and shook the branches so that the fruit fell down.,verb,"to move backwards and forwards or up and down in quick, short movements, or to make something or someone do this:",milkshake,
significant,/sɪɡˈnɪf.ɪ.kənt/,重要的 ,B1,There has been a significant increase in the number of women students in recent years.,adjective,important or noticeable:,,
sell,/sel/,卖 ,B1,I sold him my car/I sold my car to him for $600.,verb,to give something to someone else in return for money:,,
psychology,/saɪˈkɒl.ə.dʒi/,心理学 ,B1,She studied psychology at Harvard.,noun,"the scientific study of the way the human mind works and how it influences behaviour, or the influence of a particular person's character on their behaviour:",,
reputation,/ˌrep.jəˈteɪ.ʃən/,名声 ,B1,The company has a worldwide reputation for quality.,noun,"the opinion that people in general have about someone or something, or how much respect or admiration someone or something receives, based on past behaviour or character:",,
region,/ˈriː.dʒən/,地区 ,B1,one of China's autonomous regions,noun,"a particular area or part of the world, or any of the large official areas into which a country is divided:",,
reward,/rɪˈwɔːd/,报酬 ,B1,There's a reward for whoever finishes first.,"noun, verb","something given in exchange for good behaviour or good work, etc.:",,
regularly,/ˈreɡ.jə.lə.li/,经常,B1,She regularly appears on TV talk shows.,adverb,often:,,
signal,/ˈsɪɡ.nəl/,信号,B1,"When she gave (them) the signal, they all cheered.","noun, verb","an action, movement, or sound that gives information, a message, a warning, or an order:",,
scientific,/ˌsaɪ.ənˈtɪf.ɪk/,科学 ,B1,a scientific discovery/experiment/theory,adjective,"relating to science, or using the organized methods of science:",,
regret,/rɪˈɡret/,后悔 ,B1,"I left school at 16, but I've had a great life and I have no regrets.","verb, noun","a feeling of sadness about something sad or wrong or about a mistake that you have made, and a wish that it could have been different and better:",,
quiet,/ˈkwaɪ.ət/,安静的 ,B1,She spoke in a quiet voice so as not to wake him.,adjective,making very little noise:,,
shoot,/ʃuːt/,射击 ,B1,"If he's not armed, don't shoot.",verb,"to fire a bullet or an arrow, or to hit, injure, or kill a person or animal by firing a bullet or arrow at him, her, or it:",,
pure,/pjʊər/,纯的,B1,a pure cotton shirt,adjective,not mixed with anything else:,,
researcher,/rɪˈsɜː.tʃər/,研究员 ,B1,a television/political researcher,noun,"someone who studies a subject, especially in order to discover new information or reach a new understanding:",,
series,/ˈsɪə.riːz/,系列 ,B1,There has been a series of sexual attacks on women in the area.,noun,"a number of similar or related events or things, one following another:",,
rank,/ræŋk/,秩 ,B1,senior/high/junior/low rank,"noun, verb","a position in an organization, such as the army, showing the importance of the person having it:",,
sale,/seɪl/,销售,B1,The sale of cigarettes/alcohol is forbidden.,noun,an act of exchanging something for money:,,
relation,/rɪˈleɪ.ʃən/,关系 ,B1,Relations between him and his new wife are rather strained.,noun,the way in which two people or groups of people feel and behave towards each other:,,
punishment,/ˈpʌn.ɪʃ.mənt/,惩罚,B1,Many people think that the death penalty is too severe a punishment for any crime.,noun,the act of punishing someone:,,
remote,/rɪˈməʊt/,偏僻的 ,B1,"Australia is large, and remote from the great centres of population of the world.",adjective,far away in distance:,,
right,/raɪt/,正确的 1 ,B1,You got three answers right and two wrong.,"adjective, adverb, noun",correct:,,
resist,/rɪˈzɪst/,抵抗,B1,The soldiers resisted (the enemy attacks) for two days.,verb,to fight against something or someone that is attacking you:,,
quality,/ˈkwɒl.ə.ti/,质量,B1,a shop advertising top quality electrical goods,noun,how good or bad something is:,,
sign,/saɪn/,符号 ,B1,to sign a letter/cheque/contract/lease/agreement,"noun, verb","to write your name, usually on a written or printed document, to show that you agree with its contents or have written or created it yourself:",sign language,
round,/raʊnd/,圆形的 ,B1,The moon goes round the earth.,"adjective, adverb, preposition",in a circular direction or position; around:,,
senior,/ˈsiː.ni.ər/,高级的,B1,senior management,adjective,high or higher in rank:,,
satisfied,/ˈsæt.ɪs.faɪd/,使满意 ,B1,Some people are never satisfied!,adjective,"pleased because you have got what you wanted, or because something has happened in the way that you wanted:",,
sample,/ˈsɑːm.pəl/,样本,B1,a free sample of shampoo,noun,a small amount of something that shows you what the rest is or should be like:,,
safety,/ˈseɪf.ti/,安全,B1,"For your (comfort and) safety, we recommend you keep your seat belt loosely fastened during the flight.",noun,a state in which or a place where you are safe and not in danger or at risk:,,
salary,/ˈsæl.ər.i/,薪水 ,B1,"an annual salary of £40,000",noun,"a fixed amount of money agreed every year as pay for an employee, usually paid directly into his or her bank account every month:",,
silver,/ˈsɪl.vər/,银 ,B1,We gave them a dish made of solid silver as a wedding present.,"noun, adjective","a chemical element that is a valuable shiny, white metal, used for making cutlery (= knives, spoons, etc.), jewellery, coins, and decorative objects:",,
ship,/ʃɪp/,船 ,B1,a sailing ship,noun,"a large boat for travelling on water, especially across the sea:",,
response,/rɪˈspɒns/,回复,B1,Responses to our advertisement have been disappointing.,noun,an answer or reaction:,,
rent,/rent/,租 ,B1,I pay a higher rent/more rent than the other tenants because my room is bigger.,"noun, verb","a fixed amount of money that you pay regularly for the use of a room, house, car, television, etc. that someone else owns:",,
recently,/ˈriː.sənt.li/,最近 ,B1,Have you seen any good films recently?,adverb,"not long ago, or at a time that started not long ago:",,
shadow,/ˈʃæd.əʊ/,阴影,B1,"The children were playing, jumping on each other's shadows.",noun,"an area of darkness, caused by light being blocked by something:",,
silly,/ˈsɪl.i/,愚蠢的,B1,"Don't do that, you silly boy!",adjective,showing little thought or judgment:,foolish,
sail,/seɪl/,帆 ,B1,The boat sailed along/down the coast.,verb,"When a boat or a ship sails, it travels on the water:",,
rate,/reɪt/,速度 ,B1,"Although she's recovering from her illness, her rate of progress is quite slow.",noun,"the speed at which something happens or changes, or the amount or number of times it happens or changes in a particular period:",,
script,/skrɪpt/,脚本 ,B1,"Bruce Robinson wrote the script for ""The Killing Fields"".",noun,"the words of a film, play, broadcast, or speech:",scrip,
show,/ʃəʊ/,展示 ,B1,Let me show you this new book I've just bought.,"verb, noun",to make it possible for something to be seen:,,
recycle,/ˌriːˈsaɪ.kəl/,回收 ,B1,The Japanese recycle more than half their waste paper.,verb,to sort and collect rubbish in order to treat it and produce useful materials that can be used again:,,
rapidly,/ˈræp.ɪd.li/,迅速 ,B1,Things are changing very rapidly.,adverb,in a fast or sudden way:,,
quotation,/kwəʊˈteɪ.ʃən/,引述,B1,At the beginning of the book there's a quotation from Abraham Lincoln.,noun,"a phrase or short piece of writing taken from a longer work of literature, poetry, etc. or what someone else has said:",,
purpose,/ˈpɜː.pəs/,目的 ,B1,The purpose of the research is to try to find out more about the causes of the disease.,noun,why you do something or why something exists:,,
seat,/siːt/,座位,B1,"Chairs, sofas and benches are different types of seat.",noun,"a piece of furniture or part of a train, plane, etc. that has been designed for someone to sit on:",,
shoulder,/ˈʃəʊl.dər/,肩膀 ,B1,I rested my head on her shoulder.,noun,one of the two parts of the body at each side of the neck that join the arms to the rest of the body:,,
salt,/sɒlt/,盐 ,B1,salt and pepper,noun,"a common white substance found in sea water and in the ground, used especially to add flavour to food or to preserve it:",,
room,/ruːm/,房间 ,B1,I like this room - it has plenty of light.,noun,"a part of the inside of a building that is separated from other parts by walls, floor, and ceiling:","board,space (EMPTY PLACE)",
rush,/rʌʃ/,匆忙 ,B1,I've been rushing (about/around) all day trying to get everything done.,"verb, noun",to (cause to) go or do something very quickly:,,
rather,/ˈrɑː.ðər/,相当 ,B1,"It's rather cold today, isn't it?",adverb,quite; to a slight degree:,,
prove,/pruːv/,证明 ,B1,The operation proved a complete success.,verb,to show a particular result after a period of time:,,
sink,/sɪŋk/,下沉 ,B1,The Titanic was a passenger ship which sank (to the bottom of the ocean) in 1912.,verb,to (cause something or someone to) go down below the surface or to the bottom of a liquid or soft substance:,,
society,/səˈsaɪ.ə.ti/,社会 ,B1,a classless/multicultural/capitalist/civilized society,noun,"a large group of people who live together in an organized way, making decisions about how to do things and sharing the work that needs to be done. All the people in a country, or in several similar countries, can be referred to as a society:",,
similar,/ˈsɪm.ɪ.lər/,相似的 ,B1,My father and I have similar views on politics.,adjective,"looking or being almost, but not exactly, the same:",alike,
silence,/ˈsaɪ.ləns/,沉默,B1,A loud crash of thunder broke the silence of the night.,noun,a period without any sound; complete quiet:,,
shift,/ʃɪft/,转移 ,B1,She shifted (her weight) uneasily from one foot to the other.,noun,"to (cause something or someone to) move or change from one position or direction to another, especially slightly:",,
recommendation,/ˌrek.ə.menˈdeɪ.ʃən/,推荐,B1,I bought this computer on John's recommendation (= because John told me that it was good).,noun,a suggestion that something is good or suitable for a particular purpose or job:,,
since,/sɪns/,自从 ,B1,"Emma went to work in New York a year ago, and we haven't seen her since.","preposition, conjunction","from a particular time in the past until a later time, or until now:",,
rope,/rəʊp/,绳索,B1,A sailor threw a rope ashore and we tied the boat to a post.,noun,"(a piece of) strong, thick string made of long twisted threads:",,
rubber,/ˈrʌb.ər/,橡皮 ,B1,Tyres are almost always made of rubber.,"noun, adjective",an elastic substance (= that stretches) made either from the juice of particular tropical trees or artificially:,,
river,/ˈrɪv.ər/,河,B1,We sailed slowly down the river.,noun,"a natural wide flow of fresh water across the land into the sea, a lake, or another river:",,
pub,/pʌb/,酒吧,B1,Do you want to go to (informal go down) the pub after work?,noun,"a place, especially in Great Britain or Ireland, where alcoholic drinks can be bought and drunk and where food is often available:",,
share,/ʃeər/,分享,B1,She's very possessive about her toys and finds it hard to share.,verb,to have or use something at the same time as someone else:,,
social,/ˈsəʊ.ʃəl/,社会的 ,B1,I had an active social life when I was at college.,adjective,relating to activities in which you meet and spend time with other people and that happen during the time when you are not working:,"societal,mixer (SOCIALIZE)",
receipt,/rɪˈsiːt/,收据 ,B1,Make sure you are given a receipt for everything you buy.,noun,"something such as a piece of paper or message proving that money, goods, or information have been received:",,
separate,/ˈsep.ər.ət/,分离 ,B1,The art department and the music department are in two separate buildings.,adjective,existing or happening independently or in a different physical space:,,
remember,/rɪˈmem.bər/,记住,B1,"""Where did you park the car?"" ""I can't remember.""",verb,"to be able to bring back a piece of information into your mind, or to keep a piece of information in your memory:",,
rich,/rɪtʃ/,富有的 ,B1,He's the third richest man in the country.,adjective,having a lot of money or valuable possessions:,wealthy,
secondly,/ˈsek.ənd.li/,第二 ,B1,"I want two things from my boss - firstly, a pay rise, and secondly, a longer contract.",adverb,used when stating the second of two or more reasons or pieces of information:,,
protest,/ˈprəʊ.test/,反对,B1,Protests have been made/registered by many people who would be affected by the proposed changes.,"noun, verb","a strong complaint expressing disagreement, disapproval, or opposition:",,
sharp,/ʃɑːp/,锋利的 ,B1,a knife with a sharp edge/blade.,adjective,having a thin edge or point that can cut something or make a hole in something:,acid (CHEMICAL),
sex,/seks/,性别,B1,What sex is your cat?,noun,"the physical state of being either male, female, or intersex:",,
seed,/siːd/,种子 ,B1,Sow the seeds (= put them in the ground) about three centimetres deep.,noun,"a small, round or oval object produced by a plant and from which, when it is planted, a new plant can grow:",,
salad,/ˈsæl.əd/,沙拉 ,B1,Toss (= mix) the salad with a vinaigrette dressing.,noun,"a mixture of uncooked vegetables, usually including lettuce, eaten either as a separate dish or with other food:",,
provide,/prəˈvaɪd/,提供,B1,This booklet provides useful information about local services.,verb,to give someone something that they need:,,
shopping,/ˈʃɒp.ɪŋ/,购物 ,B1,I'm going shopping this afternoon.,noun,the activity of buying things from shops:,,
responsible,/rɪˈspɒn.sə.bəl/,负责任的 ,B1,Paul is directly responsible for the efficient running of the office.,adjective,"to have control and authority over something or someone and the duty of taking care of it, him, or her:",,
purchase,/ˈpɜː.tʃəs/,购买 ,B1,Tickets must be purchased two weeks in advance.,"noun, verb",to buy something:,,
relatively,/ˈrel.ə.tɪv.li/,相对地 ,B1,He's a relatively good squash player.,adverb,"quite good, bad, etc. in comparison with other similar things or with what you expect:",,
solve,/sɒlv/,解决 ,B1,to solve a problem,verb,to find an answer to a problem:,,
solution,/səˈluː.ʃən/,解决方案 ,B1,There's no easy solution to this problem.,noun,the answer to a problem:,,
